lower_super_output_area_code,lower_super_output_area_name,local_authority_district_code,local_authority_district_name,index_of_multiple_deprivation_score,index_of_multiple_deprivation_rank,index_of_multiple_deprivation_decile,income_score,income_score_exponentially_transformed,income_rank,income_decile,employment_score,employment_score_exponentially_transformed,employment_rank,emplyment_decile,education_skills_and_training_score,education_skills_and_training_score_exponentially_transformed,education_skills_and_training_rank,education_skills_and_training_decile,health_deprivation_and_disability_score,health_deprivation_and_disability_score_exponentially_transformed,health_deprivation_and_disability_rank,health_deprivation_and_disability_decile,crime_score,crime_score_exponentially_transformed,crime_rank,crime_decile,barriers_to_housing_and_services_score,barriers_to_housing_and_services_score_exponentially_transformed,barriers_to_housing_and_services_rank,barriers_to_housing_and_services_decile,living_environment_score,living_environment_score_exponentially_transformed,living_environment_rank,living_environment_decile,income_deprivation_affecting_children_index_score,income_deprivation_affecting_children_index_rank,income_deprivation_affecting_children_index_decile,income_deprivation_affecting_older_people_index_score,income_deprivation_affecting_older_people_index_rank,income_deprivation_affecting_older_people_index_decile,children_and_young_people_sub_domain_score,children_and_young_people_sub_domain_rank,children_and_young_people_sub_domain_decile,adult_skills_sub_domain_score,adult_skills_sub_domain_rank,adult_skills_sub_domain_decile,geographical_barriers_sub_domain_score,geographical_barriers_sub_domain_rank,geographical_barriers_sub_domain_decile,wider_barriers_sub_domain_score,wider_barriers_sub_domain_rank,wider_barriers_sub_domain_decile,indoors_sub_domain_score,indoors_sub_domain_rank,indoors_sub_domain_decile,outdoors_sub_domain_score,outdoors_sub_domain_rank,outdoors_sub_domain_decile,total_population_mid_2012,dependent_children_aged_0_15_mid_2012,population_aged_16_59_mid_2012,older_population_aged_60_and_over_mid_2012,working_age_population_18_59_64,income_domain_numerator,income_deprivation_affecting_children_index_numerator,income_deprivation_affecting_older_people_index_numerator,employment_domain_numerator,staying_on_in_education_post_16_indicator,entry_to_higher_education_indicator,combined_adult_skills_and_english_language_proficiency,years_of_potential_life_lost_indicator,comparative_illness_and_disability_ratio_indicator,acute_morbidity_indicator,mood_and_anxiety_disorders_indicator,road_distance_to_a_post_office_indicator_in_kilometres,road_distance_to_a_primary_school_indicator_in_kilometres,road_distance_to_general_store_or_supermarket_indicator_in_kilometres,road_distance_to_a_gp_surgery_indicator_in_kilometres,household_overcrowding_indicator,homelessness_indicator,housing_affordability_indicator,housing_in_poor_condition_indicator,houses_without_central_heating_indicator,air_quality_indicator,road_traffic_accidents_indicator,easting,northing,longitude,latitude,location,spatial_accuracy,last_uploaded,organisation_uri,LSOA Code,All Ages
E01000886,Camden 006A,E09000007,Camden,13.0710001,20609,7,0.112999998,15.5170002,16518,6,0.0700000003,8.529000282,22535,7,4.622000217,3.765000105,27820,9,-0.5879999995,6.761000156,24370,8,0.08100000024,17.24300003,15293,5,12.93200016,5.697999954,25543,8,40.89099884,44.14500046,4452,2,0.1930000037,12865,4,0.1209999993,19773,7,-0.4040000141,22528,7,0.1140000001,31837,10,-1.292000055,31433,10,0.9359999895,10857,4,0.5450000167,8809,3,1.457999945,1654,1,1522,278,981,263,979.75,170,55,30,70,0.1550000012,0.8700000048,0.1140000001,45.16899872,80.04599762,92.6969986,0.1420000046,0.8939999938,0.2090000063,0.1969999969,0.7879999876,0.2140000015,0.001000000047,0.3109999895,0.2529999912,0.03400000185,1.498000026,1.139999986,528065.125,185621.5938,-0.1541479975,51.55495453,"{'latitude': '51.554955', 'longitude': '-0.154148'}",LSOA Centroid,2018-04-23T09:51:25.000,http://opendatacommunities.org/id/london-borough-council/camden,E01000886,1716
E01000929,Camden 020A,E09000007,Camden,32.27199936,7212,3,0.298999995,49.9090004,3370,2,0.1580000073,30.86100006,8268,3,17.06900024,16.49799919,15811,5,0.1809999943,20.06100082,13480,5,0.6690000296,35.22100067,6766,3,26.875,28.37199974,9262,3,34.27399826,34.94100189,6854,3,0.3840000033,3360,2,0.4199999869,2026,1,-0.1330000013,18406,6,0.3289999962,12895,4,-1.144000053,30664,10,3.460999966,3011,1,0.0680000037,15542,5,1.613000035,1223,1,1761,439,1065,257,1060,530,170,110,170,0.1439999938,0.8730000257,0.3289999962,58.6570015,127.6340027,107.1179962,-0.09000000358,0.9679999948,0.7210000157,0.126000002,0.3459999859,0.300999999,0.001000000047,4.356999874,0.2389999926,0.01999999955,1.595000029,1.151000023,525820.125,183643,-0.18722000719999998,51.53767776,"{'latitude': '51.537677', 'longitude': '-0.18722'}",LSOA Centroid,2018-04-23T09:51:25.000,http://opendatacommunities.org/id/london-borough-council/camden,E01000929,2264
E01000863,Camden 021A,E09000007,Camden,37.43700027,5313,2,0.1949999928,29.83099937,8666,3,0.150000006,28.87999916,9050,3,16.1779995,15.53199959,16507,6,0.7789999843,36.74700165,6304,2,1.631000042,82.89600372,476,1,23.08300018,20.70000076,13099,4,63.47200012,81.01899719,553,1,0.2829999924,7499,3,0.3000000119,5887,2,0.5329999924,8364,3,0.1550000012,30409,10,-0.8029999733,27958,9,2.655999899,4811,2,1.067000031,3648,2,2.362999916,133,1,1464,156,1145,163,1174,285,45,50,175,0.400000006,0.8640000224,0.1550000012,76.97100067,134.003006,125.2419968,0.4079999924,0.6970000267,0.4370000064,0.2630000114,0.9380000234,0.3930000067,0.001000000047,1.855000019,0.3210000098,0.04699999839,1.620000005,2.736999989,528826.875,183861.7969,-0.143810004,51.53896713,"{'latitude': '51.538966', 'longitude': '-0.14381'}",LSOA Centroid,2018-04-23T09:51:25.000,http://opendatacommunities.org/id/london-borough-council/camden,E01000863,1917
E01000904,Camden 012C,E09000007,Camden,34.20199966,6451,2,0.2380000055,37.43399811,6106,2,0.1560000032,30.36899948,8456,3,14.75500011,14.04100037,17642,6,0.4350000024,26.3010006,10175,4,1.661000013,83.96199799,435,1,23.47699928,21.46699905,12655,4,37.68799973,39.73799896,5483,2,0.3840000033,3387,2,0.3440000117,4074,2,0.1819999963,13341,5,0.248999998,21858,7,-1.031999946,29929,10,2.846999884,4306,2,0.2189999968,13272,5,1.700999975,1009,1,2220,393,1517,310,1518.5,530,150,105,235,0.1860000044,0.9110000134,0.248999998,73.10500336,142.5659943,93.65599823,0.273999989,0.7630000114,0.4839999974,0.2890000045,0.3840000033,0.326000005,0.001000000047,3.069999933,0.2599999905,0.02099999972,1.575999975,1.300999999,528476.6875,184451.4063,-0.1486410052,51.54434586,"{'latitude': '51.544345', 'longitude': '-0.148641'}",LSOA Centroid,2018-04-23T09:51:25.000,http://opendatacommunities.org/id/london-borough-council/camden,E01000904,2738
E01000909,Camden 001C,E09000007,Camden,13.11400032,20563,7,0.1019999981,13.5710001,18015,6,0.09499999881,15.18200016,16767,6,4.135000229,3.292999983,28406,9,-0.8840000033,4.007999897,27524,9,0.1889999956,19.80500031,13636,5,12.71899986,5.479000092,25792,8,34.70100021,35.56600189,6659,3,0.1459999979,16616,6,0.07599999756,26627,9,-0.4709999859,23485,8,0.1120000035,31885,10,-0.8740000129,28659,9,0.6560000181,12165,4,0.3330000043,11606,4,1.284999967,2323,1,1594,233,936,425,966.5,160,35,30,90,0.1879999936,0.7760000229,0.1120000035,49.13999939,88.78099823,74.81300354,-0.6039999723,1.029999971,0.5249999762,0.275000006,0.3810000122,0.1110000014,0.001000000047,0.8790000081,0.248999998,0.02600000054,1.347000003,1.202999949,528377.6875,186417.7031,-0.1493519992,51.56203842,"{'latitude': '51.562038', 'longitude': '-0.149352'}",LSOA Centroid,2018-04-23T09:51:25.000,http://opendatacommunities.org/id/london-borough-council/camden,E01000909,1903
E01000895,Camden 002C,E09000007,Camden,13.70600033,19926,7,0.1199999973,16.72800064,15649,5,0.0719999969,9.031999588,22039,7,8.142999649,7.296000004,23800,8,-0.1550000012,13.0710001,18420,6,-0.2960000038,10.13000011,20991,7,13.45100021,6.239999771,24938,8,37.25099945,39.11600113,5645,2,0.09000000358,22523,7,0.2540000081,8124,3,0.003000000026,16158,5,0.08399999887,32451,10,-1.705000043,32487,10,1.136000037,10014,4,0.4399999976,10129,4,1.328999996,2135,1,1549,259,904,386,938.5,185,20,100,65,0.2300000042,0.8249999881,0.08399999887,51.73799896,101.4810028,94.48200226,0.3050000072,0.5460000038,0.2129999995,0.123999998,0.8320000172,0.1979999989,0.001000000047,0.8669999838,0.2689999938,0.0270000007,1.488999963,1.021999955,526490.1875,185768.2969,-0.1767999977,51.55662918,"{'latitude': '51.556628', 'longitude': '-0.1768'}",LSOA Centroid,2018-04-23T09:51:25.000,http://opendatacommunities.org/id/london-borough-council/camden,E01000895,2007
E01000861,Camden 019B,E09000007,Camden,35.375,6012,2,0.1979999989,30.30200005,8482,3,0.1389999986,26.27700043,10186,4,7.206999779,6.346000195,24822,8,0.2730000019,22.17200089,12260,4,1.666000009,84.09500122,430,1,24.25699997,23.01799965,11802,4,73.89700317,94.97899628,106,1,0.3470000029,4664,2,0.3160000145,5172,2,-0.25,20219,7,0.1870000064,28224,9,-1.335999966,31602,10,3.075999975,3764,2,1.373999953,1832,1,2.65199995,40,1,1496,181,1145,170,1149.75,295,65,55,160,0.1780000031,0.8669999838,0.1870000064,63.85499954,137.0850067,106.2949982,-0.2210000008,0.4140000045,0.3600000143,0.2099999934,0.7760000229,0.4370000064,0.001000000047,2.177000046,0.2829999924,0.08399999887,1.76699996,3.134000063,529141.3125,183934.9063,-0.1392530054,51.53955078,"{'latitude': '51.539552', 'longitude': '-0.139253'}",LSOA Centroid,2018-04-23T09:51:25.000,http://opendatacommunities.org/id/london-borough-council/camden,E01000861,1747
E01000903,Camden 006E,E09000007,Camden,20.52400017,13819,5,0.1679999977,25.02300072,10781,4,0.1080000028,18.50600052,14453,5,2.392999887,1.680999994,30500,10,-0.1469999999,13.19799995,18316,6,0.5249999762,29.8010006,8678,3,15.90699959,9.166999817,21907,7,48.09700012,54.80899811,2641,1,0.1700000018,14532,5,0.324000001,4883,2,-0.8090000153,27609,9,0.1220000014,31641,10,-1.01699996,29822,10,1.450999975,8749,3,0.8529999852,5414,2,1.475000024,1605,1,1524,210,1009,305,1022.5,255,35,100,110,0.1330000013,0.8289999962,0.1220000014,48.54600143,113.4609985,107.5859985,-0.1940000057,0.5720000267,0.5410000086,0.2210000008,0.6200000048,0.2569999993,0.001000000047,0.9509999752,0.3359999955,0.03299999982,1.495000005,1.175999999,527807.3125,184964.9063,-0.1581040025,51.54911041,"{'latitude': '51.549111', 'longitude': '-0.158104'}",LSOA Centroid,2018-04-23T09:51:25.000,http://opendatacommunities.org/id/london-borough-council/camden,E01000903,1787
E01000898,Camden 008E,E09000007,Camden,16.67499924,17047,6,0.1330000013,18.88899994,14207,5,0.07999999821,11.27900028,19947,7,10.81299973,10.01900005,21095,7,0.648999989,32.4109993,7701,3,-0.6110000014,5.897999763,25319,8,23.35300064,21.22599983,12793,4,19.43799973,17.59799957,15052,5,0.1700000018,14574,5,0.2790000141,6829,3,0.2119999975,12881,4,0.1040000021,32054,10,-1.197999954,30966,10,2.887000084,4199,2,-0.4219999909,22479,7,0.851000011,5133,2,1829,258,1288,283,1313.25,240,45,80,105,0.3160000145,0.8230000138,0.1040000021,77.78399658,128.552002,123.5699997,0.03400000185,0.5559999943,0.4370000064,0.2199999988,0.5469999909,0.4830000103,0.001000000047,1.302000046,0.1630000025,0.01999999955,1.485999942,0.6890000105,527236,185308,-0.1662150025,51.55232239,"{'latitude': '51.552323', 'longitude': '-0.166215'}",LSOA Centroid,2018-04-23T09:51:25.000,http://opendatacommunities.org/id/london-borough-council/camden,E01000898,2288
E01000876,Camden 013B,E09000007,Camden,36.83300018,5505,2,0.2829999924,46.31299973,4013,2,0.1949999928,40.28499985,5344,2,13.24800014,12.53100014,18868,6,1.062999964,46.6570015,3947,2,0.7279999852,37.50799942,6085,2,25.39800072,25.35300064,10621,4,36.32300186,37.76300049,6013,2,0.4480000138,1657,1,0.4379999936,1658,1,0.1529999971,13823,5,0.2290000021,24120,8,-0.5590000153,24994,8,2.829999924,4355,2,0.2800000012,12393,4,1.496000051,1533,1,1814,327,1234,253,1229.5,515,145,110,240,0.1889999956,0.8809999824,0.2290000021,70.27200317,183.8159943,137.2660065,0.5299999714,0.8769999743,0.9340000153,0.1949999928,0.6840000153,0.3310000002,0.001000000047,2.967999935,0.2870000005,0.01899999939,1.506999969,1.174000025,524830.625,184865.5,-0.20104700329999997,51.54888535,"{'latitude': '51.548884', 'longitude': '-0.201047'}",LSOA Centroid,2018-04-23T09:51:25.000,http://opendatacommunities.org/id/london-borough-council/camden,E01000876,2229
