lsoa_code,2015,2016,2017,2018,2019
E01000842,58,45,95,61,36
E01000843,111,80,185,202,70
E01000844,69,60,101,117,66
E01000845,128,118,184,189,97
E01000846,125,92,144,177,66
E01000847,172,100,153,197,87
E01000848,78,60,105,123,63
E01000849,151,110,226,278,159
E01000850,898,940,1324,1761,1260
E01000851,559,559,644,839,639
E01000852,326,322,536,646,431
E01000853,642,545,903,1033,1001
E01000854,896,760,1011,1228,952
E01000855,647,362,526,668,642
E01000856,300,260,286,270,151
E01000857,136,89,159,166,115
E01000858,1039,1018,1033,1058,542
E01000859,243,203,330,352,190
E01000860,28,22,39,50,26
E01000861,432,423,633,622,351
E01000862,118,100,175,160,66
E01000863,1798,1655,1972,2458,1502
E01000864,153,134,184,222,77
E01000865,194,209,294,249,209
E01000866,120,107,129,175,83
E01000867,125,163,203,186,114
E01000868,83,100,124,117,90
E01000869,184,183,260,251,186
E01000870,85,75,110,118,61
E01000871,14,8,13,18,11
E01000872,139,150,224,270,144
E01000873,94,96,179,173,93
E01000874,67,62,105,97,68
E01000875,112,121,208,206,116
E01000876,112,87,155,184,105
E01000877,103,99,157,137,90
E01000878,57,44,37,53,27
E01000879,77,54,80,113,95
E01000880,79,56,103,84,53
E01000881,98,95,93,122,82
E01000882,102,91,94,106,66
E01000883,125,147,191,160,107
E01000884,55,47,41,44,43
E01000885,55,61,61,92,54
E01000886,168,113,196,240,150
E01000887,231,168,270,303,163
E01000888,92,72,131,118,79
E01000889,123,102,142,165,82
E01000890,124,90,142,158,89
E01000891,144,152,179,225,131
E01000892,94,64,81,113,65
E01000893,,,,,4
E01000894,70,63,101,106,78
E01000895,285,225,318,410,261
E01000896,76,49,94,81,65
E01000897,73,67,95,89,72
E01000898,242,199,351,398,229
E01000899,57,45,56,65,57
E01000900,107,120,157,137,82
E01000901,167,129,228,229,124
E01000902,158,124,175,167,87
E01000903,22,34,38,56,34
E01000904,250,257,457,325,174
E01000905,175,151,279,250,128
E01000906,80,87,168,144,80
E01000907,146,138,172,224,148
E01000908,106,58,113,115,67
E01000909,218,160,206,237,153
E01000910,155,138,225,223,110
E01000911,131,113,187,225,121
E01000913,49,43,42,58,30
E01000914,605,575,747,787,557
E01000915,395,395,625,592,368
E01000916,300,295,442,444,287
E01000917,444,392,636,587,412
E01000918,1024,852,1175,1522,1207
E01000919,1119,1096,1599,2028,1837
E01000920,147,194,289,253,145
E01000921,179,161,217,236,146
E01000922,237,277,355,406,246
E01000923,175,114,214,219,137
E01000924,76,74,94,119,67
E01000925,55,51,79,78,40
E01000926,125,108,159,158,101
E01000927,234,247,389,389,229
E01000928,105,97,187,196,101
E01000929,69,71,91,110,69
E01000930,264,204,249,276,153
E01000931,175,113,140,138,60
E01000932,280,249,440,381,157
E01000933,399,430,493,578,348
E01000934,109,107,124,183,99
E01000935,60,102,81,103,60
E01000936,121,107,200,223,119
E01000937,104,69,125,115,94
E01000938,458,254,341,344,254
E01000939,1154,888,817,1313,947
E01000940,96,76,125,112,83
E01000941,301,432,767,843,497
E01000942,323,256,490,439,366
E01000943,148,138,267,273,152
E01000944,227,204,273,290,224
E01000945,238,221,341,349,213
E01000946,35,23,57,58,42
E01000947,647,647,859,950,467
E01000948,105,70,110,155,71
E01000949,49,44,51,58,31
E01000950,75,46,83,81,27
E01000951,165,151,192,218,110
E01000952,172,213,300,274,183
E01000953,889,563,427,1519,932
E01000954,94,95,112,104,90
E01000955,1050,675,592,1183,973
E01000956,205,185,294,274,184
E01000957,106,99,153,139,104
E01000958,237,206,314,340,183
E01000959,169,139,204,180,111
E01000960,296,326,441,502,277
E01000961,278,269,346,436,261
E01000962,57,51,71,69,51
E01000963,177,169,268,322,187
E01000964,58,62,66,81,42
E01000965,123,100,146,132,79
E01000966,19,25,30,41,19
E01000967,20,35,59,57,28
E01000968,64,50,84,134,58
E01000969,97,59,100,118,52
E01000970,126,89,165,238,131
E01000971,45,69,84,97,56
E01000972,98,89,142,158,86
E01000973,205,167,259,406,254
E01000974,113,88,90,112,66
