lsoa_code,year,count,collisions_casualties,collisions_count
E01000842,2015,58,0,0
E01000842,2016,45,1,1
E01000842,2017,95,1,1
E01000842,2018,61,0,0
E01000842,2019,36,1,1
E01000843,2015,111,4,4
E01000843,2016,80,2,2
E01000843,2017,185,4,4
E01000843,2018,202,2,2
E01000843,2019,70,2,2
E01000844,2015,69,1,1
E01000844,2016,60,0,0
E01000844,2017,101,4,4
E01000844,2018,117,1,1
E01000844,2019,66,3,3
E01000845,2015,128,6,6
E01000845,2016,118,4,4
E01000845,2017,184,1,1
E01000845,2018,189,4,4
E01000845,2019,97,1,1
E01000846,2015,125,5,5
E01000846,2016,92,3,3
E01000846,2017,144,4,4
E01000846,2018,177,10,10
E01000846,2019,66,5,5
E01000847,2015,172,1,1
E01000847,2016,100,0,0
E01000847,2017,153,4,4
E01000847,2018,197,1,1
E01000847,2019,87,2,2
E01000848,2015,78,0,0
E01000848,2016,60,1,1
E01000848,2017,105,1,1
E01000848,2018,123,1,1
E01000848,2019,63,0,0
E01000849,2015,151,5,5
E01000849,2016,110,3,3
E01000849,2017,226,2,2
E01000849,2018,278,2,2
E01000849,2019,159,2,2
E01000850,2015,898,21,21
E01000850,2016,940,15,15
E01000850,2017,1324,12,12
E01000850,2018,1761,19,19
E01000850,2019,1260,35,23
E01000851,2015,559,10,10
E01000851,2016,559,15,15
E01000851,2017,644,9,9
E01000851,2018,839,13,13
E01000851,2019,639,5,5
E01000852,2015,326,31,31
E01000852,2016,322,21,21
E01000852,2017,536,17,17
E01000852,2018,646,21,21
E01000852,2019,431,17,17
E01000853,2015,642,19,19
E01000853,2016,545,13,13
E01000853,2017,903,13,13
E01000853,2018,1033,16,16
E01000853,2019,1001,5,5
E01000854,2015,896,31,31
E01000854,2016,760,18,18
E01000854,2017,1011,30,30
E01000854,2018,1228,24,24
E01000854,2019,952,33,27
E01000855,2015,647,10,10
E01000855,2016,362,7,7
E01000855,2017,526,4,4
E01000855,2018,668,6,6
E01000855,2019,642,3,3
E01000856,2015,300,13,13
E01000856,2016,260,13,13
E01000856,2017,286,16,16
E01000856,2018,270,16,16
E01000856,2019,151,19,13
E01000857,2015,136,3,3
E01000857,2016,89,2,2
E01000857,2017,159,2,2
E01000857,2018,166,2,2
E01000857,2019,115,1,1
E01000858,2015,1039,11,11
E01000858,2016,1018,11,11
E01000858,2017,1033,12,12
E01000858,2018,1058,13,13
E01000858,2019,542,13,11
E01000859,2015,243,0,0
E01000859,2016,203,2,2
E01000859,2017,330,5,5
E01000859,2018,352,2,2
E01000859,2019,190,1,1
E01000860,2015,28,7,7
E01000860,2016,22,2,2
E01000860,2017,39,1,1
E01000860,2018,50,0,0
E01000860,2019,26,6,4
E01000861,2015,432,40,40
E01000861,2016,423,29,29
E01000861,2017,633,35,35
E01000861,2018,622,23,23
E01000861,2019,351,17,17
E01000862,2015,118,5,5
E01000862,2016,100,3,3
E01000862,2017,175,2,2
